cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
5,1075,8,price_vs_ema_50_15m_bps_fut_btc,price_vs_ema_50_15m_bps_fut,Trend,B6_context,0.7737,175.150665,49.637657
5,1075,9,range_pos_fut_3600s_btc,range_pos_fut_3600s,Range,B6_context,0.7722,0.892577,0.585125
5,1075,10,price_vs_ema_200_5m_bps_fut_btc,price_vs_ema_200_5m_bps_fut,Trend,B6_context,0.7529,187.451019,55.114399
5,1075,11,absorption_asymmetry_spot_1bps_60s_btc,absorption_asymmetry_spot_1bps_60s,Absorption,B3_flow,-0.7516,-0.458857,-0.066231
5,1075,12,absorption_asymmetry_spot_1bps_15s_btc,absorption_asymmetry_spot_1bps_15s,Absorption,B3_flow,-0.7393,-0.48399,-0.043486
5,1075,13,absorption_asymmetry_fut_1bps_60s_btc,absorption_asymmetry_fut_1bps_60s,Absorption,B3_flow,-0.7108,-0.445179,-0.09962
5,1075,14,taker_imbalance_shock_fut_15s_eth,taker_imbalance_shock_fut_15s,Dynamics,B5_dynamics,0.7076,0.90149,0.118478
5,1075,15,price_vs_ema_200_15m_bps_fut_btc,price_vs_ema_200_15m_bps_fut,Trend,B6_context,0.6862,234.77182,78.245102
5,1075,16,price_vs_ema_50_60m_bps_fut_btc,price_vs_ema_50_60m_bps_fut,Trend,B6_context,0.6862,234.77182,78.245102
5,1075,17,taker_imbalance_shock_fut_15s_btc,taker_imbalance_shock_fut_15s,Dynamics,B5_dynamics,0.6861,0.958872,0.204209
5,1075,18,taker_imbalance_fut_15s_btc,taker_imbalance_fut_15s,Aggression,B1_imbalance,0.6859,0.226328,0.033655
5,1075,19,absorption_asymmetry_spot_1bps_15s_eth,absorption_asymmetry_spot_1bps_15s,Absorption,B3_flow,-0.6754,-0.405351,-0.049767
5,1075,20,absorption_asymmetry_spot_1bps_60s_eth,absorption_asymmetry_spot_1bps_60s,Absorption,B3_flow,-0.6658,-0.390415,-0.075426
5,1075,21,absorption_asymmetry_fut_1bps_15s_btc,absorption_asymmetry_fut_1bps_15s,Absorption,B3_flow,-0.6576,-0.40356,-0.055917
5,1075,22,taker_imbalance_spot_15s_btc,taker_imbalance_spot_15s,Aggression,B1_imbalance,0.6478,0.224494,0.02897
5,1075,23,taker_imbalance_fut_15s_eth,taker_imbalance_fut_15s,Aggression,B1_imbalance,0.6343,0.197187,0.035995
5,1075,24,taker_imbalance_spot_15s_eth,taker_imbalance_spot_15s,Aggression,B1_imbalance,0.6053,0.176756,0.028386
5,1075,25,ema_slope_50_15m_bps_fut_btc,ema_slope_50_15m_bps_fut,Trend,B6_context,0.5973,4.610795,1.492067
5,1075,26,queue_pressure_persist_fut_1bps_900s_eth,queue_pressure_persist_fut_1bps_900s,Dynamics,B5_dynamics,-0.5935,0.142775,0.250946
5,1075,27,taker_imbalance_shock_fut_60s_btc,taker_imbalance_shock_fut_60s,Dynamics,B5_dynamics,0.5867,0.913632,0.216306
5,1075,28,queue_pressure_persist_spot_1bps_900s_eth,queue_pressure_persist_spot_1bps_900s,Dynamics,B5_dynamics,-0.5847,0.285903,0.403223
5,1075,29,taker_imbalance_spot_60s_btc,taker_imbalance_spot_60s,Aggression,B1_imbalance,0.5842,0.145886,0.031072
5,1075,30,taker_imbalance_shock_spot_15s_eth,taker_imbalance_shock_spot_15s,Dynamics,B5_dynamics,0.5833,0.629916,0.02434
5,1075,31,depth_notional_bid_struct50_fut_60s_eth,depth_notional_bid_struct50_fut_60s,Bookshape,B2_bookshape,-0.5832,16.422081,16.596731
5,1075,32,queue_pressure_persist_fut_1bps_900s_btc,queue_pressure_persist_fut_1bps_900s,Dynamics,B5_dynamics,-0.5799,0.214801,0.332607
5,1075,33,taker_imbalance_shock_spot_15s_btc,taker_imbalance_shock_spot_15s,Dynamics,B5_dynamics,0.5756,0.696433,-0.02311
5,1075,34,z_taker_imbalance_fut_60s_eth,z_taker_imbalance_fut_60s,Normalization,B5_dynamics,0.5749,0.820531,0.087738
5,1075,35,absorption_asymmetry_fut_1bps_60s_eth,absorption_asymmetry_fut_1bps_60s,Absorption,B3_flow,-0.5666,-0.286115,-0.06903
5,1075,36,price_vs_ema_200_60m_bps_fut_btc,price_vs_ema_200_60m_bps_fut,Trend,B6_context,0.5633,289.40155,113.782196
5,1075,37,price_vs_ema_50_240m_bps_fut_btc,price_vs_ema_50_240m_bps_fut,Trend,B6_context,0.5633,289.40155,113.782196
5,1075,38,depth_notional_bid_struct100_fut_60s_eth,depth_notional_bid_struct100_fut_60s,Bookshape,B2_bookshape,-0.5627,17.444639,17.589998
5,1075,39,queue_pressure_persist_spot_1bps_900s_btc,queue_pressure_persist_spot_1bps_900s,Dynamics,B5_dynamics,-0.5587,0.317123,0.433624
5,1075,40,absorption_volume_ask_spot_1bps_60s_btc,absorption_volume_ask_spot_1bps_60s,Absorption,B3_flow,-0.5529,15.573956,16.204607
5,1075,41,taker_imbalance_spot_60s_eth,taker_imbalance_spot_60s,Aggression,B1_imbalance,0.5447,0.10929,0.024977
5,1075,42,absorption_asymmetry_fut_1bps_15s_eth,absorption_asymmetry_fut_1bps_15s,Absorption,B3_flow,-0.5445,-0.305009,-0.06824
5,1075,43,ema_slope_50_15m_bps_fut_eth,ema_slope_50_15m_bps_fut,Trend,B6_context,0.5405,5.422998,1.768586
5,1075,44,taker_imbalance_shock_fut_5s_eth,taker_imbalance_shock_fut_5s,Dynamics,B5_dynamics,0.5403,0.531592,0.067889
5,1075,45,ema_slope_200_15m_bps_fut_btc,ema_slope_200_15m_bps_fut,Trend,B6_context,0.5355,1.729552,0.655346
5,1075,46,taker_imbalance_shock_spot_60s_btc,taker_imbalance_shock_spot_60s,Dynamics,B5_dynamics,0.534,0.868106,0.059261
5,1075,47,trend_aligned_15m_fut_btc,trend_aligned_15m_fut,Trend,B6_context,0.5335,0.684651,0.248987
5,1075,48,taker_imbalance_shock_fut_60s_eth,taker_imbalance_shock_fut_60s,Dynamics,B5_dynamics,0.5321,0.84433,0.152594
5,1075,49,taker_imbalance_shock_spot_60s_eth,taker_imbalance_shock_spot_60s,Dynamics,B5_dynamics,0.5318,0.741174,0.071717
5,1075,50,queue_pressure_spot_1bps_60s_btc,queue_pressure_spot_1bps_60s,Pressure,B1_imbalance,0.5254,17.067793,-5.026937
6,667,1,depth_gradient_bid_spot_struct50_300s_eth,depth_gradient_bid_spot_struct50_300s,Bookshape,B2_bookshape,-1.1706,184.098801,209.189041
6,667,2,depth_gradient_bid_spot_struct50_60s_eth,depth_gradient_bid_spot_struct50_60s,Bookshape,B2_bookshape,-1.1604,36.694683,41.91795
6,667,3,liq_concentration_bid_spot_struct50_900s_eth,liq_concentration_bid_spot_struct50_900s,Bookshape,B2_bookshape,1.1592,340.416687,268.813354
6,667,4,liq_concentration_bid_spot_struct50_60s_eth,liq_concentration_bid_spot_struct50_60s,Bookshape,B2_bookshape,1.1528,23.222858,17.96817
6,667,5,depth_notional_ask_struct100_fut_900s_eth,depth_notional_ask_struct100_fut_900s,Bookshape,B2_bookshape,1.1314,53433548.0,42663016.0
6,667,6,liq_sum_fut_300s_btc,liq_sum_fut_300s,Bookshape,B2_bookshape,1.1289,16.296274,15.927116
6,667,7,depth_gradient_bid_spot_struct50_900s_eth,depth_gradient_bid_spot_struct50_900s,Bookshape,B2_bookshape,-1.1281,558.7229,628.498108
6,667,8,depth_gradient_bid_spot_struct100_900s_btc,depth_gradient_bid_spot_struct100_900s,Bookshape,B2_bookshape,-1.127,306.191956,385.84668
6,667,9,liq_concentration_bid_spot_struct100_900s_btc,liq_concentration_bid_spot_struct100_900s,Bookshape,B2_bookshape,1.1173,592.756958,511.34613
6,667,10,liq_sum_fut_60s_btc,liq_sum_fut_60s,Bookshape,B2_bookshape,1.062,16.352867,15.94421
6,667,11,liq_sum_fut_900s_btc,liq_sum_fut_900s,Bookshape,B2_bookshape,1.0584,16.204185,15.910153
