asset,hz,thr_bps,pca_dim,k,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm,bh_q,above_null_p95,above_null_p99
eth,30s,20,300,6,3.322,0.001,0.945,1.507,1.795,1000,0.008432432432432432,True,True
eth,30s,30,300,6,1.005,0.4565,0.962,1.743,2.392,1000,0.5766315789473684,False,False
eth,30s,40,300,6,1.137,0.2867,0.962,1.823,2.401,1000,0.430977990430622,False,False
eth,5s,10,300,6,0.99,0.0579,0.906,0.997,1.096,1000,0.1720457142857143,False,False
eth,5s,15,300,6,1.094,0.032,0.855,0.959,1.228,1000,0.11568539325842699,True,False
eth,5s,20,300,6,1.415,0.019,0.789,1.216,1.485,1000,0.0871764705882353,True,False
btc,15s,10,300,8,1.032,0.3896,1.026,1.09,1.129,1000,0.5216961373390558,False,False
btc,15s,15,300,8,2.028,0.006,1.11,1.461,1.768,1000,0.03532075471698114,True,True
btc,15s,20,300,8,2.859,0.002,1.129,1.595,2.026,1000,0.01521951219512195,True,True
btc,15s,30,300,8,1.581,0.3267,1.469,2.207,2.759,1000,0.4675706422018348,False,False
btc,30s,10,300,8,1.079,0.026,1.019,1.065,1.091,1000,0.10529999999999999,True,False
btc,30s,15,300,8,1.093,0.4545,1.091,1.161,1.213,1000,0.5766315789473684,False,False
btc,30s,20,300,8,1.287,0.2038,1.142,1.613,1.949,1000,0.34726956521739133,False,False
btc,30s,30,300,8,8.164,0.001,1.361,1.998,2.349,1000,0.008432432432432432,True,True
btc,30s,40,300,8,4.802,0.001,1.52,2.127,2.525,1000,0.008432432432432432,True,True
btc,5s,10,300,8,1.123,0.5305,1.135,1.791,2.376,1000,0.6365999999999999,False,False
btc,5s,15,300,8,1.475,0.0599,1.201,1.5,1.69,1000,0.173670796460177,False,False
eth,15s,10,300,8,0.991,0.6863,1.008,1.21,1.295,1000,0.7460822299651568,False,False
eth,15s,15,300,8,1.042,0.4296,1.028,1.55,1.891,1000,0.5673439330543933,False,False
eth,15s,20,300,8,1.27,0.005,1.03,1.132,1.21,1000,0.031200000000000002,True,True
eth,15s,30,300,8,1.508,0.008,1.134,1.341,1.477,1000,0.043789473684210524,True,True
eth,15s,40,300,8,1.961,0.037,1.269,1.842,2.243,1000,0.12685714285714284,True,False
eth,1s,10,300,8,1.005,0.4755,0.993,1.721,2.218,1000,0.5887142857142857,False,False
eth,30s,10,300,8,1.539,0.001,1.044,1.188,1.264,1000,0.008432432432432432,True,True
eth,30s,15,300,8,1.91,0.001,1.081,1.299,1.433,1000,0.008432432432432432,True,True
eth,30s,20,300,8,1.373,0.0739,1.084,1.434,1.663,1000,0.18594193548387097,False,False
eth,30s,30,300,8,1.062,0.8811,1.09,1.191,1.265,1000,0.9163439999999999,False,False
eth,30s,40,300,8,1.247,0.4815,1.242,1.624,1.952,1000,0.5937865612648222,False,False
eth,5s,10,300,8,1.018,0.8711,1.067,1.813,2.422,1000,0.9089739130434783,False,False
eth,5s,15,300,8,1.257,0.05,1.087,1.254,1.395,1000,0.15600000000000003,True,False
eth,5s,20,300,8,1.133,0.5604,1.147,1.381,1.507,1000,0.6573112781954887,False,False
btc,15s,10,50,10,1.064,0.1928,1.037,1.1,1.15,1000,0.34726956521739133,False,False
btc,15s,15,50,10,2.467,0.006,1.129,1.635,2.096,1000,0.03532075471698114,True,True
btc,15s,20,50,10,1.18,0.4535,1.168,1.653,2.036,1000,0.5766315789473684,False,False
btc,15s,30,50,10,2.706,0.015,1.49,2.319,2.776,1000,0.07090909090909091,True,False
btc,1s,10,50,6,0.975,0.6533,1.014,1.282,1.414,1000,0.7151915789473684,False,False
btc,30s,10,50,10,1.005,0.5165,1.006,1.046,1.07,1000,0.6270350194552529,False,False
btc,30s,15,50,10,1.021,0.6004,1.027,1.097,1.156,1000,0.6836671532846715,False,False
btc,30s,20,50,10,1.17,0.0589,1.042,1.178,1.247,1000,0.17336603773584905,False,False
btc,30s,30,50,10,8.479,0.001,1.268,1.847,2.305,1000,0.008432432432432432,True,True
btc,30s,40,50,10,1.619,0.042,1.154,1.575,1.802,1000,0.13793684210526316,True,False
btc,5s,10,50,10,1.119,0.2957,1.087,1.256,1.402,1000,0.43724360189573463,False,False
btc,5s,15,50,10,2.444,0.003,1.24,1.757,2.188,1000,0.019914893617021277,True,True
btc,5s,20,50,6,2.072,0.011,1.238,1.598,2.026,1000,0.053625,True,True
eth,15s,10,50,10,1.003,0.5914,1.011,1.21,1.295,1000,0.6758857142857143,False,False
eth,15s,15,50,10,1.2,0.2398,1.053,1.55,1.891,1000,0.38687999999999995,False,False
eth,15s,20,50,10,1.059,0.5005,1.059,1.216,1.311,1000,0.6099843749999999,False,False
eth,15s,30,50,10,1.567,0.0879,1.173,1.738,2.171,1000,0.2054577777777778,False,False
eth,15s,40,50,10,2.144,0.022,1.308,1.946,2.402,1000,0.09533333333333333,True,False
eth,1s,10,50,10,0.983,0.7403,1.065,1.796,2.259,1000,0.7883058020477814,False,False
eth,1s,15,50,6,0.901,0.993,1.035,1.307,1.513,1000,0.996192926045016,False,False
eth,30s,10,50,10,1.002,0.7123,1.018,1.213,1.324,1000,0.766336551724138,False,False
eth,30s,15,50,10,1.052,0.4346,1.035,1.423,1.582,1000,0.5673439330543933,False,False
eth,30s,20,50,10,1.17,0.3207,1.072,1.714,2.257,1000,0.46538790697674415,False,False
eth,30s,30,50,10,3.337,0.001,1.147,1.802,2.312,1000,0.008432432432432432,True,True
eth,30s,40,50,10,1.048,0.9271,1.143,1.499,1.795,1000,0.9514973684210526,False,False
eth,5s,10,50,10,1.341,0.1938,1.097,1.813,2.422,1000,0.34726956521739133,False,False
eth,5s,15,50,10,1.438,0.1928,1.183,1.865,2.323,1000,0.34726956521739133,False,False
eth,5s,20,50,10,1.27,0.3596,1.212,1.644,1.909,1000,0.49402270742358073,False,False
btc,15s,10,50,6,1.139,0.1019,0.846,1.209,1.295,1000,0.22389295774647888,False,False
btc,15s,15,50,6,1.786,0.003,1.343,1.531,1.666,1000,0.019914893617021277,True,True
btc,15s,20,50,6,2.004,0.1019,1.539,2.438,3.649,1000,0.22389295774647888,False,False
btc,15s,30,50,6,2.332,0.1469,1.755,2.935,3.942,1000,0.30160000000000003,False,False
btc,30s,10,50,6,0.955,0.0979,0.913,0.975,1.047,1000,0.21817714285714285,False,False
btc,30s,15,50,6,0.945,0.1748,0.893,1.068,1.201,1000,0.33665185185185187,False,False
btc,30s,20,50,6,1.326,0.005,0.915,1.12,1.244,1000,0.031200000000000002,True,True
btc,30s,30,50,6,1.919,0.048,1.11,1.883,2.556,1000,0.1543917525773196,True,False
btc,30s,40,50,6,0.781,0.963,1.104,2.343,3.265,1000,0.9775324675324675,False,False
btc,5s,10,50,6,1.316,0.0679,0.924,1.341,1.507,1000,0.18421565217391303,False,False
btc,5s,15,50,6,1.015,0.1479,0.777,1.55,1.767,1000,0.30160000000000003,False,False
eth,15s,10,50,6,1.314,0.033,0.903,1.245,1.387,1000,0.11568539325842699,True,False
eth,15s,15,50,6,1.141,0.041,0.863,1.086,1.266,1000,0.13608510638297872,True,False
eth,15s,20,50,6,1.026,0.0889,0.827,1.194,1.288,1000,0.2054577777777778,False,False
eth,15s,30,50,6,2.166,0.0869,0.996,2.518,3.288,1000,0.2054577777777778,False,False
eth,15s,40,50,6,2.184,0.1469,1.514,2.749,3.702,1000,0.30160000000000003,False,False
eth,1s,10,50,6,0.994,0.2378,0.943,1.092,1.188,1000,0.38687999999999995,False,False
eth,30s,10,50,6,1.06,0.0629,0.893,1.087,1.23,1000,0.173670796460177,False,False
eth,30s,15,50,6,1.229,0.1049,0.897,1.353,1.555,1000,0.22416986301369862,False,False
eth,30s,20,50,6,3.322,0.001,0.982,1.507,1.795,1000,0.008432432432432432,True,True
eth,30s,30,50,6,0.989,0.2418,0.926,1.185,1.328,1000,0.38687999999999995,False,False
eth,30s,40,50,6,1.22,0.2328,0.966,1.823,2.401,1000,0.3843047619047619,False,False
eth,5s,10,50,6,1.122,0.05,0.913,1.12,1.27,1000,0.15600000000000003,True,False
eth,5s,15,50,6,1.226,0.019,0.858,1.075,1.268,1000,0.0871764705882353,True,False
eth,5s,20,50,6,1.4,0.043,0.817,1.362,1.579,1000,0.13974999999999999,True,False
