asset,hz,thr_bps,pca_dim,k,n_clusters,n_reversal,n_continuation,best_mfe_mae_ratio,best_ratio_mfe_lift,best_ratio_n,mean_mfe_mae_ratio,perm_p,is_final_retained
eth,30s,15,300,10,10,7,3,1.046,1.031,7258,0.9647,0.4535,False
eth,30s,15,600,6,6,6,0,1.229,0.369,142,0.9063,0.1049,False
eth,30s,15,600,8,8,8,0,1.91,1.768,142,1.166,0.001,False
eth,30s,15,600,10,10,7,3,1.043,1.03,7165,0.9616,0.4715,False
eth,30s,20,50,6,6,6,0,3.322,0.526,66,1.3348,0.001,False
eth,30s,20,50,8,8,8,0,1.373,1.553,66,1.091,0.0739,False
eth,30s,20,50,10,10,7,3,1.17,1.245,38,0.9776,0.3207,False
eth,30s,20,150,6,6,6,0,3.322,0.526,66,1.2633,0.001,False
eth,30s,20,150,8,8,8,0,1.373,1.553,66,1.0973,0.0739,False
eth,30s,20,150,10,10,6,4,1.17,1.245,38,0.9906,0.3257,False
eth,30s,20,300,6,6,6,0,3.322,0.526,66,1.2632,0.001,False
eth,30s,20,300,8,8,8,0,1.373,1.553,66,1.0915,0.0739,False
eth,30s,20,300,10,10,6,4,1.17,1.245,38,0.9907,0.3247,False
eth,30s,20,600,6,6,6,0,1.244,0.752,777,0.914,0.004,False
eth,30s,20,600,8,8,7,1,1.373,1.553,66,1.0623,0.0739,False
eth,30s,20,600,10,10,5,5,1.17,1.245,38,1.0111,0.3546,False
eth,30s,30,50,6,5,4,1,0.989,1.221,2792,0.757,0.2418,False
eth,30s,30,50,8,7,6,1,1.179,1.153,1831,0.9817,0.0779,False
eth,30s,30,50,10,10,5,5,3.337,2.873,28,1.1988,0.001,False
eth,30s,30,150,6,5,4,1,1.235,0.805,2765,0.937,0.002,False
eth,30s,30,150,8,7,5,2,1.111,1.049,2296,1.0016,0.2737,False
eth,30s,30,150,10,9,6,3,1.026,1.04,1509,0.953,0.7832,False
eth,30s,30,300,6,5,5,0,1.005,1.165,3035,0.7914,0.4565,False
eth,30s,30,300,8,7,5,2,1.062,1.157,2094,0.967,0.8811,True
eth,30s,30,300,10,10,7,3,1.182,0.96,124,1.0011,0.2877,False
eth,30s,30,600,6,5,4,1,1.103,0.821,2889,0.851,0.3536,False
eth,30s,30,600,8,8,6,2,1.193,0.877,57,1.0271,0.2498,False
eth,30s,30,600,10,10,7,3,1.383,1.1,22,0.9768,0.2278,False
eth,30s,40,50,6,6,6,0,1.22,1.208,961,0.7962,0.2328,False
eth,30s,40,50,8,8,7,1,1.352,1.237,874,1.0714,0.1878,False
eth,30s,40,50,10,8,4,4,1.048,1.048,836,0.9035,0.9271,False
eth,30s,40,150,6,6,6,0,1.184,1.31,822,0.816,0.2498,False
eth,30s,40,150,8,8,7,1,1.395,1.229,887,1.0641,0.1578,False
eth,30s,40,150,10,9,5,4,1.016,1.032,873,0.8852,0.989,False
eth,30s,40,300,6,6,6,0,1.137,1.203,959,0.8108,0.2867,False
eth,30s,40,300,8,8,6,2,1.247,1.276,751,0.9265,0.4815,False
eth,30s,40,300,10,8,4,4,1.06,1.006,1071,0.8307,0.9071,False
eth,30s,40,600,6,6,6,0,1.168,1.303,843,0.7978,0.2597,False
eth,30s,40,600,8,8,7,1,1.298,1.251,917,1.0371,0.2517,False
eth,30s,40,600,10,9,5,4,1.056,1.005,787,0.8923,0.9321,False
eth,5s,10,50,6,6,5,1,1.122,1.174,398,0.8855,0.05,False
eth,5s,10,50,8,8,7,1,1.383,0.545,386,0.9566,0.1768,False
eth,5s,10,50,10,10,9,1,1.341,0.544,340,0.9772,0.1938,False
eth,5s,10,150,6,6,5,1,0.994,1.333,4399,0.8593,0.0569,False
eth,5s,10,150,8,8,7,1,1.321,0.532,330,0.972,0.2048,False
eth,5s,10,150,10,10,9,1,1.356,0.512,363,0.9595,0.1888,False
eth,5s,10,300,6,6,5,1,0.99,1.37,4153,0.8562,0.0579,False
eth,5s,10,300,8,8,7,1,1.018,0.925,3832,0.9076,0.8711,False
eth,5s,10,300,10,10,9,1,1.356,0.512,363,0.9591,0.1888,False
eth,5s,10,600,6,6,5,1,1.003,1.32,4722,0.7727,0.4525,False
eth,5s,10,600,8,8,7,1,1.037,0.932,3710,0.9103,0.6973,False
eth,5s,10,600,10,10,9,1,1.354,0.513,362,0.9618,0.1888,False
eth,5s,15,50,6,5,3,2,1.226,1.354,1289,0.934,0.019,False
eth,5s,15,50,8,7,5,2,1.225,0.468,138,0.9619,0.0689,False
eth,5s,15,50,10,9,7,2,1.438,0.339,20,1.0097,0.1928,False
eth,5s,15,150,6,6,4,2,1.293,1.267,136,0.9782,0.0889,False
eth,5s,15,150,8,7,5,2,1.139,1.372,658,0.9066,0.1548,False
eth,5s,15,150,10,9,7,2,1.189,0.417,131,0.952,0.2028,False
eth,5s,15,300,6,5,4,1,1.094,1.378,1224,0.818,0.032,False
eth,5s,15,300,8,7,6,1,1.257,0.478,136,0.9887,0.05,False
eth,5s,15,300,10,9,7,2,1.438,0.339,20,1.0111,0.1888,False
eth,5s,15,600,6,6,4,2,1.299,1.264,137,0.982,0.0719,False
eth,5s,15,600,8,7,5,2,1.306,0.491,138,0.9553,0.028,False
eth,5s,15,600,10,9,6,3,1.193,0.478,115,0.9349,0.2837,False
eth,5s,20,50,6,5,4,1,1.4,1.689,268,0.8938,0.043,False
eth,5s,20,50,8,7,6,1,1.173,1.518,316,0.873,0.5295,False
