column,vif,bare_name,base_concept,group,asset,stage,window_s,market_scope
z_price_deviation_300s_btc,27.7911,z_price_deviation_300s,z_price_deviation,Normalization,btc,S3,300.0,Spot|Futures
ca_net_pressure_persist_spot_10bps_spread_60s_btceth,27.6283,ca_net_pressure_persist_spot_10bps_spread_60s,ca_net_pressure_persist_10bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
median_absorption_break_fut_60s_btc,27.5964,median_absorption_break_fut_60s,median_absorption_break,Dynamics,btc,S4,60.0,Futures
max_liq_distance_ask_5bps_fut_1s_btc,27.3201,max_liq_distance_ask_5bps_fut_1s,max_liq_distance_ask_5bps,Bookshape,btc,S0,,Futures
max_liq_distance_bid_5bps_fut_1s_btc,27.2604,max_liq_distance_bid_5bps_fut_1s,max_liq_distance_bid_5bps,Bookshape,btc,S0,,Futures
d2_net_pressure_spot_2bps_15s_btc,27.1222,d2_net_pressure_spot_2bps_15s,d2_net_pressure_2bps,Dynamics,btc,S4,,Spot
absorb_refill_bid_spot_10bps_1s_btc,27.104,absorb_refill_bid_spot_10bps_1s,absorb_refill_bid_10bps,Absorption,btc,S2,1.0,Spot
z_price_deviation_900s_btc,27.0118,z_price_deviation_900s,z_price_deviation,Normalization,btc,S3,900.0,Spot|Futures
z_pull_rate_fut_5bps_15s_btc,27.0088,z_pull_rate_fut_5bps_15s,z_pull_rate_5bps,Normalization,btc,S2,15.0,Futures
z_net_cancel_fut_5bps_900s_btc,26.8597,z_net_cancel_fut_5bps_900s,z_net_cancel_5bps,Normalization,btc,S4,900.0,Futures
z_avg_trade_size_fut_300s_btc,26.8311,z_avg_trade_size_fut_300s,z_avg_trade_size,Normalization,btc,S2,300.0,Futures
d1_refill_rate_spot_2bps_15s_btc,26.7368,d1_refill_rate_spot_2bps_15s,d1_refill_rate_2bps,Dynamics,btc,S3,,Spot
d1_refill_rate_fut_2bps_15s_btc,26.6159,d1_refill_rate_fut_2bps_15s,d1_refill_rate_2bps,Dynamics,btc,S3,,Futures
mad_vacuum_score_fut_5bps_15s_btc,26.5627,mad_vacuum_score_fut_5bps_15s,mad_vacuum_score_5bps,Dynamics,btc,S4,15.0,Futures
cancel_rate_bid_spot_1bps_1s_btc,26.4885,cancel_rate_bid_spot_1bps_1s,cancel_rate_bid_1bps,Liquidity Events,btc,S1,,Spot
impact_per_signed_shock_fut_5s_btc,26.4165,impact_per_signed_shock_fut_5s,impact_per_signed_shock,Dynamics,btc,S3,,Futures
z_refill_rate_spot_2bps_60s_btc,26.3041,z_refill_rate_spot_2bps_60s,z_refill_rate_2bps,Normalization,btc,S3,60.0,Spot
z_volume_asym_fut_minus_spot_60s_btc,26.2954,z_volume_asym_fut_minus_spot_60s,z_volume_asym_minus,Cross-Market,btc,S2,60.0,Futures
z_pull_rate_spot_5bps_5s_btc,26.2697,z_pull_rate_spot_5bps_5s,z_pull_rate_5bps,Normalization,btc,S2,5.0,Spot
mad_queue_pressure_spot_2bps_15s_btc,25.9767,mad_queue_pressure_spot_2bps_15s,mad_queue_pressure_2bps,Dynamics,btc,S2,15.0,Spot
mad_net_pressure_spot_2bps_60s_btc,25.8877,mad_net_pressure_spot_2bps_60s,mad_net_pressure_2bps,Dynamics,btc,S4,60.0,Spot
d2_queue_pressure_spot_2bps_15s_btc,25.8815,d2_queue_pressure_spot_2bps_15s,d2_queue_pressure_2bps,Dynamics,btc,S2,15.0,Spot
refill_rate_shock_spot_5bps_15s_btc,25.5194,refill_rate_shock_spot_5bps_15s,refill_rate_shock_5bps,Dynamics,btc,S2,15.0,Spot
